Участник операции:,,УЧИТЕЛЬ,,,ПОЛЬЗОВАТЕЛЬ,,,,
,Вид документа,Исходный формат,"Машино-читаемый/
скан образ",Бизнес процесс,Результирующий формат,"Машино-читаемый/
скан образ",роли,структурное подразделение,Цель операции
,,,,,,,,,
1.,Спецификация рабочей докумениации,pdf,МЧ,"1. извлечение реквизитов документа из главного штампа документа, в части:
 - наименования титула;
 - Наименование шифра;
 - наименования листа;
 - наименования названия документа;
 - формат листа;
 - стадии проектирвоания;
 - наименование проектной организации;
 - дата документа;
 - номер изменения.
2. извлечение информации содержания документа в табличной форме, с расчетными формулами",Xls,МЧ,инженер,ПТО,"1. Формирование сводной спецификации материалов и оборудования;
2. Бюджетирование проекта;
3. Унификация спецификации"
2.,Спецификация рабочей докумениации,pdf,СО,"1. извлечение реквизитов документа из главного штампа документа, в части:
 - наименования титула;
 - Наименование шифра;
 - наименования листа;
 - наименования названия документа;
 - формат листа;
 - стадии проектирвоания;
 - наименование проектной организации;
 - дата документа;
 - номер изменения.
2. извлечение информации содержания документа в табличной форме, с расчетными формулами",Xls,МЧ,инженер,ПТО,"1. Формирование сводной спецификации материалов и оборудования;
2. Бюджетирование проекта;
3. Унификация спецификации"
3.,Чертеж рабочей документации,"""DWG"" (.dwg)",МЧ,"1. извлечение реквизитов документа из главного штампа документа, в части:
 - наименования титула;
 - Наименование шифра;
 - наименования листа;
 - наименования названия документа;
 - формат листа;
 - стадии проектирвоания;
 - наименование проектной организации;
 - дата документа;
 - номер изменения.
2. извлечение информации содержания документа в табличной форме, с расчетными формулами",Xls,МЧ,инженер,ПТО,"1. Формирование сводной спецификации материалов и оборудования;
2. Бюджетирование проекта;
3. Унификация спецификации"
4.,Сметная докумантция,"""ARP"" (.arp)",МЧ,"1. извлечение реквизитов документа документа, в части:
 - Нименования;
 - номера;
 - даты утвреждения.
 - привязка к шифру рабочей документации.
2. Извлечение содержания и формы сметы с расчетными формулами",,МЧ,инженер сметчик,Сметный отдел,"1. Анализ сметы;
2. кор сметы"
5.,Сметная докумантция,"""GSFX"" (.gsfx)",МЧ,"1. извлечение реквизитов документа документа, в части:
 - Нименования;
 - номера;
 - даты утвреждения.
 - привязка к шифру рабочей документации.
2. Извлечение содержания и формы сметы с расчетными формулами",,МЧ,инженер сметчик,Сметный отдел,"1. Анализ сметы;
2. кор сметы"
6.,Сметная докумантция,xml,МЧ,"1. извлечение реквизитов документа документа, в части:
 - Нименования;
 - номера;
 - даты утвреждения.
 - привязка к шифру рабочей документации.
2. Извлечение содержания и формы сметы с расчетными формулами",,МЧ,инженер сметчик,Сметный отдел,"1. Анализ сметы;
2. кор сметы"
7.,Нормативная документация,Word (Docx),МЧ,"1. извлечение реквизитов документа документа, в части:
 - Нименования;
 - номера;
 - даты утвреждения
2. выжимка информации по запросу",pdf,МЧ,юрист,Юр. Отдел,"1. Работа с документами;
2. Подготовка иных документов"
8.,Сметная докумантция,Xls,МЧ,"Выборка информации по запросу, с извлеченим запрашиваемых данных.",Xls,МЧ,инженер сметчик,Сметный отдел,"1. Анализ смеь;
2. Формирование бюджета"
